Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_LOGRECNO,Geo_TRACT,pop,pop_density,MedH_Inc,NH_ac,pct_NH_ac,num_hh,pct_homeowner,pct_renters,pct_vacant,SE_T003_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_007,SE_T013_008,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_007,PCT_SE_T013_008,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,PCT_SE_T017_002,PCT_SE_T017_003,PCT_SE_T017_004,PCT_SE_T017_005,PCT_SE_T017_006,PCT_SE_T017_007,PCT_SE_T017_008,PCT_SE_T017_009,SE_T083_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T095_001,SE_T095_002,SE_T095_003,PCT_SE_T095_002
15001020100,14000US15001020100,"Census Tract 201, Hawaii County, Hawaii",267,20100,4841,49.87414,47554,370,7.64,1703,71.11,28.89,21.27,101.1789,1702,68,8,1487,71,1135,35.16,1.4,0.17,30.72,1.47,23.45,1156,795,361,144,217,547,273,274,67.88,46.68,21.2,8.46,12.74,32.12,16.03,16.09,24946,2163,1703,1211,492,2163,1703,460,78.73
15001020202,14000US15001020202,"Census Tract 202.02, Hawaii County, Hawaii",268,20202,2148,8.769973,31875,221,10.29,642,77.41,22.59,11.69,245.4189,568,10,0,670,47,632,26.44,0.47,0,31.19,2.19,29.42,432,276,156,49,107,210,91,119,67.29,42.99,24.3,7.63,16.67,32.71,14.17,18.54,19753,727,642,497,145,727,642,85,88.31
15001020300,14000US15001020300,"Census Tract 203, Hawaii County, Hawaii",269,20300,3847,3026.822,37969,487,12.66,1525,39.28,60.72,23.33,1.459734,843,9,8,958,54,1488,21.91,0.23,0.21,24.9,1.4,38.68,758,537,221,57,164,767,476,291,49.7,35.21,14.49,3.74,10.75,50.3,31.21,19.08,24369,1989,1525,599,926,1989,1525,464,76.67
15001020400,14000US15001020400,"Census Tract 204, Hawaii County, Hawaii",270,20400,4020,3853.31,28493,582,14.48,1317,31.36,68.64,17.74,1.899318,695,77,4,926,35,1701,17.29,1.92,0.1,23.03,0.87,42.31,780,355,425,109,316,537,293,244,59.23,26.96,32.27,8.28,23.99,40.77,22.25,18.53,17928,1601,1317,413,904,1601,1317,284,82.26
15001020500,14000US15001020500,"Census Tract 205, Hawaii County, Hawaii",271,20500,5399,2295.002,22903,566,10.48,2056,29.62,70.38,16.66,2.389702,1174,37,14,1682,8,1918,21.74,0.69,0.26,31.15,0.15,35.53,868,397,471,80,391,1188,584,604,42.22,19.31,22.91,3.89,19.02,57.78,28.4,29.38,17857,2467,2056,609,1447,2467,2056,411,83.34
15001020600,14000US15001020600,"Census Tract 206, Hawaii County, Hawaii",272,20600,6439,343.9404,57941,1357,21.07,1830,77.38,22.62,13.48,23.63361,749,38,6,1142,13,3134,11.63,0.59,0.09,17.74,0.2,48.67,1356,954,402,122,280,474,198,276,74.1,52.13,21.97,6.67,15.3,25.9,10.82,15.08,21953,2115,1830,1416,414,2115,1830,285,86.52
15001020701,14000US15001020701,"Census Tract 207.01, Hawaii County, Hawaii",273,20701,4352,2386.27,49368,246,5.65,1758,67.24,32.76,12.19,1.823767,552,12,0,2106,9,1427,12.68,0.28,0,48.39,0.21,32.79,912,649,263,101,162,846,308,538,51.88,36.92,14.96,5.75,9.22,48.12,17.52,30.6,26696,2002,1758,1182,576,2002,1758,244,87.81
15001020702,14000US15001020702,"Census Tract 207.02, Hawaii County, Hawaii",274,20702,5377,4520.662,69571,182,3.38,1835,82.94,17.06,3.47,1.189427,634,47,9,2536,133,1836,11.79,0.87,0.17,47.16,2.47,34.15,1326,950,376,174,202,509,235,274,72.26,51.77,20.49,9.48,11.01,27.74,12.81,14.93,28720,1901,1835,1522,313,1901,1835,66,96.53
15001020801,14000US15001020801,"Census Tract 208.01, Hawaii County, Hawaii",275,20801,4910,420.3633,74112,446,9.08,1557,78.68,21.32,4.07,11.68095,739,0,17,1878,9,1821,15.05,0,0.35,38.25,0.18,37.09,1265,990,275,51,224,292,131,161,81.25,63.58,17.66,3.28,14.39,18.75,8.41,10.34,31850,1623,1557,1225,332,1623,1557,66,95.93
15001020802,14000US15001020802,"Census Tract 208.02, Hawaii County, Hawaii",276,20802,6422,1556.704,63750,574,8.94,2220,69.64,30.36,12.43,4.125384,1620,67,0,2122,96,1943,25.23,1.04,0,33.04,1.49,30.26,1667,1327,340,93,247,553,164,389,75.09,59.77,15.32,4.19,11.13,24.91,7.39,17.52,32130,2535,2220,1546,674,2535,2220,315,87.57
