region,concern,votes
Kauai,Lack of road maintenance since 1999,8
Kauai,Access for fire fighters to rural locations,7
Kauai,Code Management,7
Kauai,Code Management,7
Kauai,Fire breaks between/within large parcels/roads,7
Kauai,Fire breaks between/within large parcels/roads,7
Kauai,Fire breaks between/within large parcels/roads,7
Kauai,Code Management,7
Kauai,Code Management,7
Kauai,Rural road maintenance,6
Kauai,Lack of Water,6
Kauai,Vegetation Management started across Pilipoli street,5
Kauai,Educating homeowners,4
Kauai,Fuel in Urban Interface,4
Kauai,Fuel in Urban Interface,4
Kauai,Unmanaged fallow land,4
Kauai,"Vegetation out of control behind Koloa, Solar Farm- hwy. is close by and fire potential",4
Kauai,"Vegetation out of control behind Koloa, Solar Farm- hwy. is close by and fire potential",4
Kauai,Suppression Water Resources,4
Kauai,Water Supply,4
Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3
Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3
Kauai,Land management on larger holdings (>10 acres) - promote leasing out,3
Kauai,Idle/Fallow Lands,3
Kauai,Vacant lots - high fuels; Cars burning,3
Kauai,Need to maintain vegetation education efforts,3
Kauai,Need to maintain vegetation education efforts,3
Kauai,Who is responsible for lands,3
Kauai,No water for former Ag lands,3
Kauai,Water resources are limited,3
Kauai,Water resources are limited,3
Kauai,Wildland water sources,3
Kauai,Community Awareness,2
Kauai,Not enough enforcement staff (Police) to deal with potential arsonists,2
Kauai,Need to address ecosystem protection & restoration,2
Kauai,Decommission Ag lands = no equip. operators and no road/veg maintenance,2
Kauai,Decommission Ag lands = no equip. operators and no road/veg maintenance,2
Kauai,Fallow lands,2
Kauai,Grazing lands are not accessible to most people for grazing leases (ADC (state org.) land - old cane - now guinea grass) - not maintaining their fuels,2
Kauai,Unmanaged fuels & Roadsides,2
Kauai,Unmanaged fuels & Roadsides,2
Kauai,Unmanaged vegetation,2
Kauai,"Who manages what? Ag lands, Roads",2
Kauai,"Who manages what? Ag lands, Roads",2
Kauai,Unmanaged fuels & Roadsides,2
Kauai,"Who manages what? Ag lands, Roads",2
Kauai,Fires on ridges threat valleys -Section of ridges with fire breaks,1
Kauai,Charter school students educated about dangers of fire (arsonists from the community),1
Kauai,Charter school students educated about dangers of fire (arsonists from the community),1
Kauai,"Provide homeowners with the means to protect their property (fire extinguishers, smoke detectors)",1
Kauai,Fires on ridges threat valleys -Section of ridges with fire breaks,1
Kauai,"Unmanaged vegetation (mixed landowners, state, homeowners)",1
Kauai,Additional training,1
Kauai,"Better cooperation & communication among landowners & land users (grazers, hunters, etc.)",1
Kauai,Who will take this CWPP to the next step?,1
Kauai,Hydrants - currently 60-70 PSI,1
Kauai,Alternate traffic routes when roads are closed due to fire,0
Kauai,Road Access,0
Kauai,"Access Issues - Large Landowners - Land Management (animals/hunting, access)",0
Kauai,Locked gates,0
Kauai,Older homes construction type - easily flammable,0
Kauai,Possible fire setters intentional,0
Kauai,Public Awareness,0
Kauai,Toxicity of burning cultivated Ag lands affecting downwind communities,0
Kauai,Awareness; Juvenile Fire Starts,0
Kauai,Awareness; Juvenile Fire Starts,0
Kauai,Lack of awareness,0
Kauai,Lack of awareness,0
Kauai,Multiple fires in Anahola,0
Kauai,No more ordinances for farmers,0
Kauai,Not much wildfire awareness (except hunters & hikers),0
Kauai,Not much wildfire awareness (except hunters & hikers),0
Kauai,Not much wildfire awareness (except hunters & hikers),0
Kauai,0,0
Kauai,Brush abatement laws,0
Kauai,Brush abatement laws,0
Kauai,No more ordinances for farmers,0
Kauai,Invasive species - overgrown/suffocate natural vegetation,0
Kauai,Long term impacts of fire,0
Kauai,Fallow lands,0
Kauai,Fallow lands,0
Kauai,High fuels along roads,0
Kauai,High grass/fuels,0
Kauai,High grass/fuels,0
Kauai,Invasive species - overgrown/suffocate natural vegetation,0
Kauai,Lateral roads across ridges (old cane road) unmaintained,0
Kauai,Maintaining ditches,0
Kauai,Old pasture maintenance,0
Kauai,Toxicity of burning cultivated Ag lands affecting downwind communities,0
Kauai,Unmanaged fallow lands - upkeep/ownership,0
Kauai,Woody brush left along roadsides,0
Kauai,Abandoned grazing operations - gulches,0
