meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,sec_desc1,sec_desc2,sec_desc3
Waimea,Kauai,Lack of road maintenance since 1999,8,Open up & maintain roads as firebreaks,PS,R,a,NA,NA,NA
Wilcox,Kauai,Access for fire fighters to rural locations,7,better access,S,R,a,NA,NA,NA
Wilcox,Kauai,Rural road maintenance,6,Moveable road blocks/gates on access roads,PS,R,a,NA,NA,NA
Waimea,Kauai,Fires on ridges threat valleys -Section of ridges with fire breaks,1,Restore old cane roads - parallel along ridges and lateral roads,PS,L,a,r,NA,NA
Wilcox,Kauai,Alternate traffic routes when roads are closed due to fire,0,Funding for rural road maintenance,S,C,a,r,NA,NA
Waimea,Kauai,Road Access,0,Open roadways,PS,R,a,NA,NA,NA
CM Mason Chock,Kauai,"Access Issues - Large Landowners - Land Management (animals/hunting, access)",NA,Map out access areas - appease large landowners  needs to help them manage their lands,P,C,a,NA,NA,NA
Princeville Ranch,Kauai,Locked gates,NA,DNA,S,R,a,NA,NA,NA
Kilauea,Kauai,Educating homeowners,4,"Homeowner education, home safety, evacuating procedures (workshop, one-page flyer, Door to Door by HOA member",P,C,c,cbo,NA,NA
Kilauea,Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3,"Outreach opportunities - schools, events; Identify critical infrastructure  (highways, solar farms, power plants, hospitals, hotels)",P,C,c,psa,NA,NA
Kilauea,Kauai,"Hot Spots (Hanapepe - 49 DHHL units near old cane fields; Wailua Marina; Anahola; Waimea; Salt Pond, Kipu Bypass; Kaumakani; Poipu; Kekaha/Waimea Canyon; Ahukini/Hanamaulu (near airport)",3,"Outreach opportunities - schools, events; Identify critical infrastructure  (highways, solar farms, power plants, hospitals, hotels)",P,C,c,yo,NA,NA
Agency Meeting,Kauai,Community Awareness,2,"Using fire safety trailer events, community meetings",P,C,c,cbo,NA,NA
Kilauea,Kauai,Charter school students educated about dangers of fire (arsonists from the community),1,Youth education at Charter school (Kanuikapono School),P,C,c,psa,NA,NA
Kilauea,Kauai,Charter school students educated about dangers of fire (arsonists from the community),1,Youth education at Charter school (Kanuikapono School),P,C,c,yo,NA,NA
Waimea,Kauai,"Provide homeowners with the means to protect their property (fire extinguishers, smoke detectors)",1,NA,P,C,c,cbo,NA,NA
Waimea,Kauai,Older homes construction type - easily flammable,0,Service projects by local High School students to help the elderly,P,C,c,yo,NA,NA
Waimea,Kauai,Possible fire setters intentional,0,Education/Awareness,P,C,c,oo,NA,NA
Waimea,Kauai,Public Awareness,0,"More information, education, workshops, classes with large employers - lunch hour",P,C,c,oo,NA,NA
Waimea,Kauai,Toxicity of burning cultivated Ag lands affecting downwind communities,0,Ag owners and community should know the toxicity of their burning fuels/crops,S,C,c,cbo,NA,NA
CM Mason Chock,Kauai,Awareness; Juvenile Fire Starts,NA,Community outreach/fire prevention outreach; K-12 classrooms,P,C,c,cbo,NA,NA
CM Mason Chock,Kauai,Awareness; Juvenile Fire Starts,NA,Community outreach/fire prevention outreach; K-12 classrooms,P,C,c,yo,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,Lack of awareness,NA,"Educate everybody; Defensible space on their side; What to do as an individual; Flyers door to door in critical areas (areas next to Ag lands, threatened areas)",P,C,c,cbo,NA,NA
Waimea,Kauai,Lack of awareness,NA,"Public outreach (Workplace Ed. ""Lunch and Learns"" - 100+ employees, Chamber of Commerce mtgs.; Home Safety; Big West Side events  (July 4th, Waimea Plantation Days - Feb., Kids - teach parents (K-6th gr.)",P,C,c,oo,NA,NA
Councilmember (CM) Kipukai Kuali'i,Kauai,Multiple fires in Anahola,NA,Model homestead in Anahola,P,C,c,cbo,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,No more ordinances for farmers,NA,Educate landowners & the state & tenants to lease = they are responsible to maintain the buffer; Have cows and goats near homes or mow for firebreaks,P,C,c,oo,NA,NA
Council Chair Rapozo,Kauai,Not much wildfire awareness (except hunters & hikers),NA,"Get hikers, hunters involved (recreational users) - Billy Vicosta - Waimea school teacher/rancher/hunter",P,C,c,oo,NA,NA
Council Chair Rapozo,Kauai,Not much wildfire awareness (except hunters & hikers),NA,Kids Ed.,P,C,c,yo,NA,NA
Council Chair Rapozo,Kauai,Not much wildfire awareness (except hunters & hikers),NA,Rotary clubs - get on their agendas (N shore & Kapaa); Adopt a Club to clear vegetation at an elderly person's home,P,C,c,oo,NA,NA
Kauai Coffee Farm,Kauai,NA,NA,Education - regular community meetings at community centers.  Learn about what we are losing from fires,P,C,c,cbo,NA,NA
Kilauea,Kauai,Not enough enforcement staff (Police) to deal with potential arsonists,2,Work with County budgets & funding,P,C,e,oo,NA,NA
Council Chair Rapozo,Kauai,Brush abatement laws,NA,Educate Fire Dept. eyes in the field for brush abatement laws,P,C,e,oo,NA,NA
Council Chair Rapozo,Kauai,Brush abatement laws,NA,Educate police officers - fire hazard & brush abatement,P,C,e,oo,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,No more ordinances for farmers,NA,Educate landowners & the state & tenants to lease = they are responsible to maintain the buffer; Have cows and goats near homes or mow for firebreaks,PS,C,e,oo,NA,NA
Waimea,Kauai,Land management on larger holdings (>10 acres) - promote leasing out,3,Legislation requiring fire plan & veg. maintenance; Legislation make land holders pay for maintenance of vegetation,PS,C,e,oo,NA,NA
Kilauea,Kauai,Need to address ecosystem protection & restoration,2,Integrate natural resource protection into other fire protection efforts,PF,L,ep,p,NA,NA
Waimea,Kauai,Fires on ridges threat valleys -Section of ridges with fire breaks,1,Restore old cane roads - parallel along ridges and lateral roads,PS,L,ep,r,NA,NA
Waimea,Kauai,Invasive species - overgrown/suffocate natural vegetation,0,"Reduce invasive species, replant native species",PS,L,ep,is,NA,NA
CM Mason Chock,Kauai,Long term impacts of fire,NA,Monitor and study,PF,L,ep,research,NA,NA
F,Kauai,Code Management,7,Hazardous trees,P,L,f,e,NA,NA
Agency Meeting,Kauai,Code Management,7,Hazardous trees,P,L,f,p,NA,NA
Agency Meeting,Kauai,Fire breaks between/within large parcels/roads,7,Brushfire mitigation meeting.,P,L,f,p,NA,NA
Agency Meeting,Kauai,Fire breaks between/within large parcels/roads,7,Encourage landowners to make fire breaks.,PS,L,f,cbo,NA,NA
Agency Meeting,Kauai,Fire breaks between/within large parcels/roads,7,Encourage landowners to make fire breaks.,P,L,f,cbo,NA,NA
Kilauea,Kauai,Vegetation Management started across Pilipoli street,5,"Funding needed for gas, machine maintenance; Apply for funding (HWMO, DHHL for both small and larger scale projects)",PS,L,f,money,NA,NA
Wilcox,Kauai,Fuel in Urban Interface,4,Fire breaks in urban interface - Equip./Personnel to help landowners,PS,L,f,money,NA,NA
Wilcox,Kauai,Fuel in Urban Interface,4,Fire breaks in urban interface - Equip./Personnel to help landowners,PS,L,f,wui,NA,NA
Agency Meeting,Kauai,Unmanaged fallow land,4,Actively manage lands,PS,L,f,sustained action,NA,NA
Kilauea,Kauai,"Vegetation out of control behind Koloa, Solar Farm- hwy. is close by and fire potential",4,Fire breaks near communities; $$ for Vegetation Control,PS,L,f,money,NA,NA
Kilauea,Kauai,"Vegetation out of control behind Koloa, Solar Farm- hwy. is close by and fire potential",4,Fire breaks near communities; $$ for Vegetation Control,PS,L,f,wui,NA,NA
Agency Meeting,Kauai,Idle/Fallow Lands,3,Hanapepe Heights - Need fuel breaks,PS,L,f,vl,NA,NA
Kilauea,Kauai,Vacant lots - high fuels; Cars burning,3,NA,P,L,f,vl,NA,NA
Wilcox,Kauai,Decommission Ag lands = no equip. operators and no road/veg maintenance,2,"State Law 127A-18 ""Mitigation of Hazardous Situations"" - Addressed by legislative teams - states only trees are considered hazardous veg. - need to include grasses/shrubs too - so add to existing law if 'buffer' needs to be cleared - State Civil Defense could enforce it",P,L,f,e,NA,NA
Wilcox,Kauai,Decommission Ag lands = no equip. operators and no road/veg maintenance,2,"State Law 127A-18 ""Mitigation of Hazardous Situations"" - Addressed by legislative teams - states only trees are considered hazardous veg. - need to include grasses/shrubs too - so add to existing law if 'buffer' needs to be cleared - State Civil Defense could enforce it",P,L,f,e,NA,NA
Waimea,Kauai,Fallow lands,2,Open (cheap) for grazing & Ag. to use the land,PS,L,f,ag,NA,NA
