AREA,PERIMETER,Ing_Eg,Rd_Maint,Rd_Width,Rd_Cond,Fire_Acc,St_Sign,Strc_Den,Hm_Set,Un_Lands,Priv_Act,Prox_Wild,SUBD_TOT,Prox_Flam,Veg_Type,Fuel_Load,Fuel_Strc,Def_Space,VEG_TOT,Roof_Asmb,Sid_Sof,Undr_Skrt,Utlty_Plmt,Strc_Ign,BLDG_TOT,Slope,Avg_Rain,Prev_Wind,Seas_Haz,Ign_Risk,Top_Adv,FIREHAZTOT,Wat_Avail,Ofst_Wat,Rspn_Time,Prox_Stn,FD_Trng,Wild_Cap,Loc_Ops,Com_Plan,Com_FirPrg,FIREPROTOT,OVRLHAZTOT,Acres,AreaName,Island,IntAgCoop,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot
350902.922,316.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350902.92152799998,Maui Interior,Maui,0,Unranked,,0.00000000000,
52.272,2.688,3,2,2,1,3,1,2,3,1,1,2,21,2,2,3,3,1,11,1,1,1,3,1,7,2,6,4,3,3,3,21,2,0,1,2,2,2,2,1,2,14,0,52.27206912280,Maalaea,Maui,1,Extreme,,40.00000000000,67
33.929,1.580,3,2,2,1,3,1,2,3,1,1,2,21,2,2,3,3,1,11,1,1,1,3,1,7,2,6,4,3,3,3,21,2,0,1,2,2,2,2,1,2,14,0,33.92883881950,Maalaea Harbor,Maui,1,Extreme,,40.00000000000,70
1228.330,6.973,3,1,1,1,1,1,1,1,3,2,3,16,3,2,3,3,0,11,2,2,2,2,2,8,2,6,4,3,3,3,21,2,0,1,2,2,2,2,1,2,14,0,1228.32987910000,Ukumehame,Maui,1,Extreme,,40.00000000000,75
1518.845,6.776,3,1,1,1,1,1,1,1,3,2,3,18,3,2,2,2,1,10,1,1,1,1,1,5,3,6,4,3,3,3,22,1,0,1,1,2,2,2,1,2,12,0,1518.84461014000,Olowalu Mauka,Maui,1,Extreme,,40.00000000000,67
1800.473,7.726,3,1,2,2,2,1,2,1,2,1,3,20,3,2,2,2,1,10,1,1,1,1,1,5,2,6,4,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,1800.47318509000,Launiupoko,Maui,1,Extreme,,40.00000000000,65
831.895,6.160,3,3,3,2,3,1,3,3,1,2,3,27,3,2,2,2,3,12,2,2,1,3,2,10,3,6,3,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,831.89530945800,Lahaina S Mauka,Maui,1,Extreme,,40.00000000000,77
420.848,5.000,3,2,3,2,2,1,3,3,1,1,2,23,1,2,2,2,1,8,1,1,1,2,1,6,2,5,3,3,3,3,19,1,0,1,1,2,2,2,1,2,12,0,420.84838391300,Wahikuli,Maui,1,Extreme,,40.00000000000,62
388.810,3.414,3,1,2,2,1,1,1,1,3,1,3,19,3,2,2,1,1,9,1,1,1,3,1,7,2,5,3,3,3,3,19,1,0,1,1,2,2,2,1,2,12,0,388.81036699900,Kaanapali C,Maui,1,Extreme,,36.00000000000,63
230.786,2.808,2,2,2,1,1,1,3,3,2,2,2,21,2,2,2,2,3,11,1,2,1,1,2,7,2,3,3,3,3,3,17,1,0,1,1,2,2,2,1,2,12,0,230.78573458400,Honokowai,Maui,1,High,,36.00000000000,64
129.056,2.757,2,2,2,2,2,1,2,2,2,2,2,21,2,2,3,2,2,11,1,1,2,3,1,8,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,129.05633198100,Kahana Makai,Maui,1,High,,30.00000000000,62
220.637,2.972,1,1,1,1,1,1,1,1,3,2,3,16,3,2,2,2,1,10,1,2,2,2,1,8,2,3,3,2,2,3,15,1,0,1,1,2,2,2,1,2,12,0,220.63712950700,Napili Mauka,Maui,1,Moderate,,24.00000000000,60
514.846,3.869,2,1,1,1,1,1,1,1,1,1,1,12,1,2,2,1,1,7,1,2,1,1,1,6,1,4,3,2,2,1,13,1,0,1,1,2,2,2,1,2,12,0,514.84615713900,Kapalua Mauka,Maui,1,Moderate,,22.00000000000,47
140.868,2.189,3,3,3,3,3,2,1,2,3,3,3,29,3,3,3,3,2,19,1,2,2,3,2,10,3,3,3,2,1,3,15,2,0,3,3,2,1,2,1,2,16,0,140.86759994400,Old Kahakuloa Village,Maui,1,High,,40.00000000000,
333.388,3.748,3,3,3,3,3,2,1,2,3,3,3,29,3,3,3,3,2,19,1,2,2,3,2,10,3,3,3,2,1,3,15,2,0,3,3,2,1,2,1,2,16,0,333.38812463500,Kahakuloa Homesteads,Maui,1,Extreme,,40.00000000000,75
699.331,6.679,2,2,3,1,2,1,2,2,1,2,3,21,3,2,2,1,2,10,1,2,2,3,2,10,3,2,3,1,1,3,13,3,0,2,3,2,2,2,1,2,17,0,699.33080553600,Camp Maluhia,Maui,1,High,,40.00000000000,
367.490,3.230,3,2,2,1,3,2,1,1,3,3,3,24,3,3,3,2,2,13,1,2,2,3,2,10,2,2,3,2,2,3,14,1,0,1,1,2,2,2,1,2,12,0,367.48990892500,Waiehu Mauka,Maui,1,High,,30.00000000000,68
1863.142,12.506,2,2,3,1,2,1,3,2,2,2,2,22,3,2,1,2,2,10,1,3,2,3,2,11,3,2,3,3,3,2,17,1,0,2,3,2,1,2,1,2,16,0,1863.14156797000,Wailuku,Maui,1,Extreme,,40.00000000000,67
320.134,5.268,2,1,1,1,2,1,1,1,2,1,3,16,3,1,2,1,1,8,1,2,1,1,1,6,2,4,3,2,2,3,17,1,0,1,1,2,2,2,1,2,12,0,320.13357875600,Wailuku Heights,Maui,1,Moderate,,19.00000000000,56
246.596,3.789,2,2,2,1,2,1,2,1,2,2,2,19,1,2,2,1,2,8,1,2,1,2,2,8,1,5,3,2,2,3,16,1,0,1,1,2,2,2,1,2,12,0,246.59614657900,Waikapu,Maui,1,Moderate,,21.00000000000,58
4806.309,18.651,2,1,2,1,2,1,3,1,2,2,2,19,2,2,1,1,2,8,1,2,2,3,2,10,1,6,4,3,3,1,18,1,0,1,1,2,2,2,1,2,12,0,4806.30857416000,Kahului,Maui,1,Extreme,,40.00000000000,63
401.989,5.279,2,1,2,1,2,1,2,1,2,1,1,16,2,1,1,1,1,6,2,2,2,1,1,8,1,6,4,3,2,1,17,1,0,1,1,2,2,2,1,2,12,0,401.98943098100,Spreckelsville,Maui,1,Low,,14.00000000000,56
