meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,secondary_desc
Waianae #1,W. Oahu,Lack of knowledge (children-adults),6,Educate community (fire safety),P,C,C,CBO
Waianae #1,W. Oahu,"Residents, visitors, everybody needs to know about how to protect from wildfire",2,"Learn/teach about building stone walls; What & how to plant for benefit (food to eat, prevent erosion)",P,C,C,CBO
Kapolei,W. Oahu,Lack of education,3," Community Outreach Demonstrations: Video, DVD, Social Media, PSAs     ",P,C,C,"CBO, SM, PSA"
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Increase awareness about fire code (fire dept.) & fire-related laws,P,C,C,"CBO, YO"
Nanakuli ,W. Oahu,High frequency of brush firs in specific areas,2,Community awareness/educational programs targeting schools,P,C,C,"CBO, YO"
Makakilo,W. Oahu,Apathy,0,,P,C,C,O
Kapolei,W. Oahu,Community based respect & responsibilities,2,Education/Outreach,P,C,C,O
Waianae #1,W. Oahu,Electrical Irresponsibility,2,Educate on clutter around outlets/electricity,P,C,C,O
Waianae #2,W. Oahu,Fire Propensity Advisory,1,Announce to public what to do and not to do,P,C,C,O
WMWP,W. Oahu,Fires starting below natural areas and moving into native forest,6,Education/outreach,P,C,C,O
Kapolei,W. Oahu,Lack of education,3,Fire Prevention Week,P,C,C,O
Makakilo,W. Oahu,Poor community awareness,1,"Public Service Announcements (windy days, during red flag warnings, dry summer seasons, reminders to keep landscape controlled at/near structures",P,C,C,PSA
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Social media ,P,C,C,SM
Nanakuli ,W. Oahu,Fire lit but senior class (back of Nanakuli); Smoke issues,11, Local area hunter involvement,P,C,C,TO- hunter
Makakilo,W. Oahu,Human ignitions in urban areas that have potential to spread into forest reserve,2,Increase awareness/education; Include Fire Ed. In Hunter Ed. Classes,P,C,C,TO- hunter
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Outreach to schools,P,C,C,YO
Nanakuli ,W. Oahu,Fire lit by senior class (back of Nanakuli); Smoke issues,11,"Community Education; School participation; Parent involvement; Create a culture of fire awareness, projects kids can take pride in",P,C,C,YO
Makakilo,W. Oahu,Lack of community outreach education,1,More engagement/education by various agencies with elementary & intermediate schools,P,C,C,YO
Kapolei,W. Oahu,Lack of education,3,"In Schools: Juvenile fire setter program; Target concern areas (Nanakuli, Waianae)   ",P,C,C,YO
Waianae #1,W. Oahu,Need to work with youth/students,4,Go into schools growing existing programs,P,C,C,YO
Makakilo,W. Oahu,Parents & residents need more education,0,"Send info. home through DOE, post on DOE website, email blasts",P,C,C,YO
Waianae #1,W. Oahu,School kids lighting fires,4,Elem school outreach (primary); Middle school outreach (secondary),P,C,C,YO
