AREA,PERIMETER,Acres,AreaName,Island,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot,hazard,score,hazard_category,reason
350902.922,316.142,350902.921528,Maui Interior,Maui,Unranked,NA,0,NA,Ing_Eg,0,Subdivision,NA
52.272,2.688,52.2720691228,Maalaea,Maui,Extreme,NA,40,67,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
33.929,1.58,33.9288388195,Maalaea Harbor,Maui,Extreme,NA,40,70,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
1228.33,6.973,1228.3298791,Ukumehame,Maui,Extreme,NA,40,75,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
1518.845,6.776,1518.84461014,Olowalu Mauka,Maui,Extreme,NA,40,67,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
1800.473,7.726,1800.47318509,Launiupoko,Maui,Extreme,NA,40,65,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
831.895,6.16,831.895309458,Lahaina S Mauka,Maui,Extreme,NA,40,77,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
420.848,5,420.848383913,Wahikuli,Maui,Extreme,NA,40,62,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
388.81,3.414,388.810366999,Kaanapali C,Maui,Extreme,NA,36,63,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
230.786,2.808,230.785734584,Honokowai,Maui,High,NA,36,64,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
129.056,2.757,129.056331981,Kahana Makai,Maui,High,NA,30,62,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
220.637,2.972,220.637129507,Napili Mauka,Maui,Moderate,NA,24,60,Ing_Eg,1,Subdivision,Multiple entrances and exits are well equipped for fire trucks with turnarounds
514.846,3.869,514.846157139,Kapalua Mauka,Maui,Moderate,NA,22,47,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
140.868,2.189,140.867599944,Old Kahakuloa Village,Maui,High,NA,40,NA,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
333.388,3.748,333.388124635,Kahakuloa Homesteads,Maui,Extreme,NA,40,75,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
699.331,6.679,699.330805536,Camp Maluhia,Maui,High,NA,40,NA,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
367.49,3.23,367.489908925,Waiehu Mauka,Maui,High,NA,30,68,Ing_Eg,3,Subdivision,"Narrow, dead end roads or 1 way in, 1 way out. Steep grades"
1863.142,12.506,1863.14156797,Wailuku,Maui,Extreme,NA,40,67,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
320.134,5.268,320.133578756,Wailuku Heights,Maui,Moderate,NA,19,56,Ing_Eg,2,Subdivision,Limited access routes. 2 ways in and 2 ways out. Moderate grades
